id,employee_name,salary_rice_kg,allowance_value_idr
824,Hadi Kusuma,15,225000
825,Hadi Wijaya,20,300000
826,Siti Kusuma,30,450000
827,Andi Dani,10,150000
828,Rini Mulyani,25,375000
829,Rini Wijaya,10,150000
830,Dewi Wijaya,30,450000
831,Dewi Setiawan,30,450000
832,Ahmad Utami,25,375000
833,Budi Prasetyo,10,150000
834,Siti Mulyani,15,225000
835,Eko Mulyani,15,225000
836,Siti Setiawan,10,150000
837,Dewi Wijaya,15,225000
838,Budi Kusuma,25,375000
839,Siti Mulyani,30,450000
840,Andi Utami,30,450000
841,Siti Prasetyo,25,375000
842,Rini Wijaya,15,225000
843,Dewi Wijaya,15,225000
844,Dewi Wijaya,30,450000
845,Hadi Lestari,20,300000
846,Eko Santoso,10,150000
847,Budi Kusuma,20,300000
848,Dewi Kusuma,25,375000
849,Sri Kusuma,15,225000
850,Eko Rahma,15,225000
851,Ahmad Setiawan,25,375000
852,Mega Rahma,25,375000
853,Eko Mulyani,25,375000
854,Eko Kusuma,30,450000
855,Sri Utami,20,300000
856,Hadi Mulyani,25,375000
857,Rini Setiawan,15,225000
858,Dewi Utami,25,375000
859,Eko Wijaya,30,450000
860,Mega Lestari,25,375000
861,Sri Setiawan,10,150000
862,Sri Dani,25,375000
863,Rini Wijaya,20,300000
864,Dewi Utami,20,300000
865,Mega Lestari,15,225000
866,Andi Utami,10,150000
867,Sri Utami,25,375000
868,Dewi Prasetyo,30,450000
869,Mega Wijaya,15,225000
870,Budi Mulyani,25,375000
871,Ahmad Setiawan,10,150000
872,Hadi Setiawan,15,225000
873,Ahmad Lestari,10,150000
874,Budi Dani,20,300000
875,Rini Rahma,10,150000
876,Ahmad Kusuma,10,150000
877,Dewi Wijaya,20,300000
878,Ahmad Setiawan,30,450000
879,Andi Setiawan,25,375000
880,Rini Setiawan,30,450000
881,Rini Wijaya,30,450000
882,Eko Mulyani,10,150000
883,Rini Dani,20,300000
